datetime,volt,rotate,pressure,vibration,label
2015-01-01 06:00:00,151.9199987,530.8135776,101.7881753,49.60401349,0
2015-01-01 07:00:00,174.5220011,535.5235323,113.2560095,41.51590548,0
2015-01-01 08:00:00,146.9128216,456.080746,107.7869646,42.09969365,0
2015-01-01 09:00:00,179.5305609,503.4699905,108.2838172,37.84772749,0
2015-01-01 10:00:00,180.5442766,371.6006113,107.5533068,41.46788004,0
2015-01-01 11:00:00,141.411757,530.8572661,87.61400128,44.9858462,0
2015-01-01 12:00:00,184.0838217,450.2275288,87.69737971,30.83126271,0
2015-01-01 13:00:00,166.6326184,486.4668378,108.0677338,50.38005392,0
2015-01-01 14:00:00,159.8927484,488.9686975,102.1318844,43.66129655,0
2015-01-01 15:00:00,176.6868117,508.2027594,90.95118921,43.03969563,0
2015-01-01 16:00:00,189.2092566,489.6504332,105.4062822,41.82296768,0
2015-01-01 17:00:00,193.476952,321.5341601,95.11880899,39.07477099,0
2015-01-01 18:00:00,151.9918095,489.9714332,91.64509384,43.9820715,0
2015-01-01 19:00:00,163.4345755,472.2728366,94.31601801,48.48069656,0
2015-01-01 20:00:00,172.1957222,450.5462236,104.7815341,41.54036883,0
2015-01-01 21:00:00,170.9902861,415.250945,94.00755978,43.88877968,0
2015-01-01 22:00:00,163.3244598,449.9276887,95.63261404,44.33325417,0
2015-01-01 23:00:00,134.8683142,411.8198887,112.0595889,46.17753202,0
2015-01-02 00:00:00,165.8242645,439.8060911,105.4592794,45.97812634,0
2015-01-02 01:00:00,152.2729455,459.9411028,111.4934937,44.42926457,0
2015-01-02 02:00:00,170.4968791,429.6513778,121.7347183,42.11067367,0
2015-01-02 03:00:00,157.4342448,417.8523239,103.2241635,40.98383594,0
2015-01-02 04:00:00,168.2358338,474.1765537,93.55184947,36.98917379,0
2015-01-02 05:00:00,158.8771614,459.273717,96.95738425,36.20496808,0
2015-01-02 06:00:00,163.8747955,419.7862304,86.72211412,42.18704203,0
2015-01-02 07:00:00,164.3334386,466.9429796,107.2060021,40.99795626,0
2015-01-02 08:00:00,189.9255007,437.7272987,102.2093505,38.32617193,0
2015-01-02 09:00:00,180.7465446,395.9859768,95.86199996,35.10286053,0
